"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0000807>","DN3 thymocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule"
"<http://purl.obolibrary.org/obo/CL_0000807>","DN3 thymocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001307>","CD44 molecule"
"<http://purl.obolibrary.org/obo/CL_0000807>","DN3 thymocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000025402>","T cell receptor co-receptor CD8"
