"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0002053>","CD22-positive, CD38-low small pre-B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/GO_0071753>","IgM immunoglobulin complex"
"<http://purl.obolibrary.org/obo/CL_0002053>","CD22-positive, CD38-low small pre-B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon"
"<http://purl.obolibrary.org/obo/CL_0002053>","CD22-positive, CD38-low small pre-B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/GO_0019815>","B cell receptor complex"
"<http://purl.obolibrary.org/obo/CL_0002053>","CD22-positive, CD38-low small pre-B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/GO_0035369>","pre-B cell receptor complex"
"<http://purl.obolibrary.org/obo/CL_0002053>","CD22-positive, CD38-low small pre-B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001003>","CD34 molecule"
