"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0002460>","CD8alpha-negative thymic conventional dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001002>","CD19 molecule"
"<http://purl.obolibrary.org/obo/CL_0002460>","CD8alpha-negative thymic conventional dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001003>","CD34 molecule"
"<http://purl.obolibrary.org/obo/CL_0002460>","CD8alpha-negative thymic conventional dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon"
"<http://purl.obolibrary.org/obo/CL_0002460>","CD8alpha-negative thymic conventional dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001024>","neural cell adhesion molecule 1"
"<http://purl.obolibrary.org/obo/CL_0002460>","CD8alpha-negative thymic conventional dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001289>","membrane-spanning 4-domains subfamily A member 1"
"<http://purl.obolibrary.org/obo/CL_0002460>","CD8alpha-negative thymic conventional dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001012>","integrin alpha-M"
"<http://purl.obolibrary.org/obo/CL_0002460>","CD8alpha-negative thymic conventional dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001015>","receptor-type tyrosine-protein phosphatase C isoform CD45RA"
"<http://purl.obolibrary.org/obo/CL_0002460>","CD8alpha-negative thymic conventional dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001084>","T-cell surface glycoprotein CD8 alpha chain"
