"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","has_low_plasma_membrane_amount","<http://purl.obolibrary.org/obo/GO_0042613>","MHC class II protein complex"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","has_low_plasma_membrane_amount","<http://purl.obolibrary.org/obo/PR_000001412>","CD86 molecule"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","has_low_plasma_membrane_amount","<http://purl.obolibrary.org/obo/PR_000001438>","CD80 molecule"
