"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0000818>","transitional stage B cell","has plasma membrane part","<http://purl.obolibrary.org/obo/GO_0071753>","IgM immunoglobulin complex"
"<http://purl.obolibrary.org/obo/CL_0000818>","transitional stage B cell","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001289>","membrane-spanning 4-domains subfamily A member 1"
"<http://purl.obolibrary.org/obo/CL_0000818>","transitional stage B cell","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001002>","CD19 molecule"
