"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0000776>","immature neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001012>","integrin alpha-M"
"<http://purl.obolibrary.org/obo/CL_0000776>","immature neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001332>","carcinoembryonic antigen-related cell adhesion molecule 8"
"<http://purl.obolibrary.org/obo/CL_0000776>","immature neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001969>","urokinase plasminogen activator surface receptor"
"<http://purl.obolibrary.org/obo/CL_0000776>","immature neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001479>","low affinity immunoglobulin gamma Fc region receptor II"
"<http://purl.obolibrary.org/obo/CL_0000776>","immature neutrophil","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001879>","leukosialin"
