"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0002053>","CD22-positive, CD38-low small pre-B cell","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001898>","neprilysin"
"<http://purl.obolibrary.org/obo/CL_0002053>","CD22-positive, CD38-low small pre-B cell","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001002>","CD19 molecule"
"<http://purl.obolibrary.org/obo/CL_0002053>","CD22-positive, CD38-low small pre-B cell","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001288>","B-cell receptor CD22"
