"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0002426>","CD11b-positive, CD27-positive natural killer cell","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001012>","integrin alpha-M"
"<http://purl.obolibrary.org/obo/CL_0002426>","CD11b-positive, CD27-positive natural killer cell","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001963>","CD27 molecule"
"<http://purl.obolibrary.org/obo/CL_0002426>","CD11b-positive, CD27-positive natural killer cell","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000002977>","killer cell lectin-like receptor subfamily B member 1C"
