"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0002338>","CD56-positive, CD161-positive immature natural killer cell","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001024>","neural cell adhesion molecule 1"
"<http://purl.obolibrary.org/obo/CL_0002338>","CD56-positive, CD161-positive immature natural killer cell","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001381>","interleukin-2 receptor subunit beta"
"<http://purl.obolibrary.org/obo/CL_0002338>","CD56-positive, CD161-positive immature natural killer cell","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000001874>","KLRB1-like protein"
"<http://purl.obolibrary.org/obo/CL_0002338>","CD56-positive, CD161-positive immature natural killer cell","has plasma membrane part","<http://purl.obolibrary.org/obo/PR_000002065>","mast/stem cell growth factor receptor"
