"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0000907>","central memory CD8-positive, alpha-beta T cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule"
"<http://purl.obolibrary.org/obo/CL_0000907>","central memory CD8-positive, alpha-beta T cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001015>","receptor-type tyrosine-protein phosphatase C isoform CD45RA"
"<http://purl.obolibrary.org/obo/CL_0000907>","central memory CD8-positive, alpha-beta T cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001380>","interleukin-2 receptor subunit alpha"
