"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0001062>","effector memory CD8-positive, alpha-beta T cell, terminally differentiated","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001004>","CD4 molecule"
"<http://purl.obolibrary.org/obo/CL_0001062>","effector memory CD8-positive, alpha-beta T cell, terminally differentiated","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001017>","receptor-type tyrosine-protein phosphatase C isoform CD45RO"
"<http://purl.obolibrary.org/obo/CL_0001062>","effector memory CD8-positive, alpha-beta T cell, terminally differentiated","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001203>","C-C chemokine receptor type 7"
