"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0002111>","CD38-negative unswitched memory B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001935>","syndecan-1"
"<http://purl.obolibrary.org/obo/CL_0002111>","CD38-negative unswitched memory B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon"
"<http://purl.obolibrary.org/obo/CL_0002111>","CD38-negative unswitched memory B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/GO_0071735>","IgG immunoglobulin complex"
"<http://purl.obolibrary.org/obo/CL_0002111>","CD38-negative unswitched memory B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/GO_0071742>","IgE immunoglobulin complex"
"<http://purl.obolibrary.org/obo/CL_0002111>","CD38-negative unswitched memory B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/GO_0071745>","IgA immunoglobulin complex"
"<http://purl.obolibrary.org/obo/CL_0002111>","CD38-negative unswitched memory B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001408>","ADP-ribosyl cyclase 1"
