"x","celllabel","plabel","marker","markerlabel"
"<http://purl.obolibrary.org/obo/CL_0002047>","Fraction B precursor B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/GO_0071753>","IgM immunoglobulin complex"
"<http://purl.obolibrary.org/obo/CL_0002047>","Fraction B precursor B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon"
"<http://purl.obolibrary.org/obo/CL_0002047>","Fraction B precursor B cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000002039>","glutamyl aminopeptidase"
