"x","celllabel","parent","parentlabel","Score"
"<http://purl.obolibrary.org/obo/CL_0002432>","CD24-positive, CD4 single-positive thymocyte","<http://purl.obolibrary.org/obo/BFO_0000004>","""independent continuant""@en","1"
"<http://purl.obolibrary.org/obo/CL_0002432>","CD24-positive, CD4 single-positive thymocyte","<http://purl.obolibrary.org/obo/BFO_0000004>","ic","1"
"<http://purl.obolibrary.org/obo/CL_0002432>","CD24-positive, CD4 single-positive thymocyte","<http://purl.obolibrary.org/obo/BFO_0000004>","IndependentContinuant","1"
"<http://purl.obolibrary.org/obo/CL_0002432>","CD24-positive, CD4 single-positive thymocyte","<http://purl.obolibrary.org/obo/BFO_0000002>","""continuant""@en","1"
"<http://purl.obolibrary.org/obo/CL_0002432>","CD24-positive, CD4 single-positive thymocyte","<http://purl.obolibrary.org/obo/BFO_0000002>","continuant","1"
"<http://purl.obolibrary.org/obo/CL_0002432>","CD24-positive, CD4 single-positive thymocyte","<http://purl.obolibrary.org/obo/BFO_0000002>","Continuant","1"
"<http://purl.obolibrary.org/obo/CL_0002432>","CD24-positive, CD4 single-positive thymocyte","<http://purl.obolibrary.org/obo/BFO_0000040>","""material entity""@en","1"
"<http://purl.obolibrary.org/obo/CL_0002432>","CD24-positive, CD4 single-positive thymocyte","<http://purl.obolibrary.org/obo/BFO_0000040>","material","1"
"<http://purl.obolibrary.org/obo/CL_0002432>","CD24-positive, CD4 single-positive thymocyte","<http://purl.obolibrary.org/obo/BFO_0000040>","MaterialEntity","1"
"<http://purl.obolibrary.org/obo/CL_0002432>","CD24-positive, CD4 single-positive thymocyte","<http://purl.obolibrary.org/obo/CARO_0000006>","""material anatomical entity""@en","1"
"<http://purl.obolibrary.org/obo/CL_0002432>","CD24-positive, CD4 single-positive thymocyte","<http://purl.obolibrary.org/obo/BFO_0000001>","entity","1"
"<http://purl.obolibrary.org/obo/CL_0002432>","CD24-positive, CD4 single-positive thymocyte","<http://purl.obolibrary.org/obo/BFO_0000001>","Entity","1"
"<http://purl.obolibrary.org/obo/CL_0002432>","CD24-positive, CD4 single-positive thymocyte","<http://purl.obolibrary.org/obo/BFO_0000001>","""entity""@en","1"
"<http://purl.obolibrary.org/obo/CL_0002433>","CD69-positive, CD4-positive single-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002433>","CD69-positive, CD4-positive single-positive thymocyte","<http://purl.obolibrary.org/obo/CL_0000000>","""cell""@en","1"
